ts,pid,comm,file,size,entropy,is_enc
1769820356.533313,303,systemd-resolve,.#resolv.confzwg3d2,929,4.8245,0
1769820356.533654,303,systemd-resolve,.#stub-resolv.confQZWMrJ,1032,4.7665,0
1769820368.9056382,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820368.920142,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820369.0475848,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820369.0640936,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820369.066083,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820369.492596,373,rs:main Q:Reg,syslog,647,5.0304,0
1769820369.4934063,373,rs:main Q:Reg,syslog,994,4.9519,0
1769820369.4941826,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769820369.4947991,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820376.3149264,373,rs:main Q:Reg,syslog,647,5.0292,0
1769820376.3157582,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820376.3159914,373,rs:main Q:Reg,syslog,994,4.9427,0
1769820376.3165855,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820376.3476822,373,rs:main Q:Reg,syslog,647,5.0317,0
1769820376.3487208,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820376.3495138,373,rs:main Q:Reg,syslog,2635,5.0590,0
1769820376.3501008,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820377.4089499,373,rs:main Q:Reg,syslog,1485,4.9422,0
1769820377.4094884,373,rs:main Q:Reg,syslog,994,4.9593,0
1769820377.4102468,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820377.4108348,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820390.3754184,373,rs:main Q:Reg,syslog,647,5.0327,0
1769820390.376224,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820390.3797426,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820390.3799403,373,rs:main Q:Reg,syslog,852,4.9391,0
1769820390.3804462,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820390.7646532,373,rs:main Q:Reg,syslog,567,5.0981,0
1769820390.765857,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820421.7871683,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2041,0
1769820421.823515,10546,apt-get,#1625,4096,4.7970,0
1769820421.8245475,10546,apt-get,#1625,4096,4.7747,0
1769820421.8255644,10546,apt-get,#1625,4096,4.6743,0
1769820421.8265743,10546,apt-get,#1625,4096,4.6390,0
1769820421.827526,10546,apt-get,#1625,4096,4.6665,0
1769820421.8283865,10546,apt-get,#1625,4096,4.8208,0
1769820421.8293076,10546,apt-get,#1625,4096,4.8444,0
1769820421.8302,10546,apt-get,#1625,4096,4.8076,0
1769820421.8309789,10546,apt-get,#1625,4096,4.7667,0
1769820421.8318236,10546,apt-get,#1625,4096,4.8004,0
1769820421.8328257,10546,apt-get,#1625,4096,4.6944,0
1769820421.8337498,10546,apt-get,#1625,4096,4.6038,0
1769820421.8349023,10546,apt-get,#1625,4096,4.6411,0
1769820421.8358698,10546,apt-get,#1625,4096,4.7542,0
1769820421.8367286,10546,apt-get,#1625,4096,4.7731,0
1769820421.8376021,10546,apt-get,#1625,4096,4.8473,0
1769820421.8384752,10546,apt-get,#1625,4096,4.7227,0
1769820421.8393345,10546,apt-get,#1625,4096,4.7289,0
1769820421.8401773,10546,apt-get,#1625,4096,4.7875,0
1769820421.841019,10546,apt-get,#1625,4096,4.6924,0
1769820421.8419366,10546,apt-get,#1625,4096,4.7702,0
1769820421.842885,10546,apt-get,#1625,4096,4.6946,0
1769820421.8437831,10546,apt-get,#1625,4096,4.6758,0
1769820421.8446555,10546,apt-get,#1625,4096,4.6800,0
1769820421.8455033,10546,apt-get,#1625,4096,4.7856,0
1769820421.8464186,10546,apt-get,#1625,4096,4.8001,0
1769820421.8473308,10546,apt-get,#1625,4096,4.8607,0
1769820421.8482113,10546,apt-get,#1625,4096,4.7807,0
1769820421.8489902,10546,apt-get,#1625,4096,4.7757,0
1769820421.849871,10546,apt-get,#1625,4096,4.7993,0
