ts,pid,comm,file,size,entropy,is_enc
1769809517.415471,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809530.36742,373,rs:main Q:Reg,syslog,647,5.0327,0
1769809530.368193,373,rs:main Q:Reg,syslog,819,4.9532,0
1769809530.3690982,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809555.8129163,301,systemd-network,.#2rlSmiP,620,5.2607,0
1769809555.8132942,301,systemd-network,.#2YV11qs,733,5.5371,0
1769809555.8142965,303,systemd-resolve,.#resolv.confKwO7Jq,929,4.8245,0
1769809555.8145335,303,systemd-resolve,.#stub-resolv.confeQGOB0,1032,4.7665,0
1769809569.491566,373,rs:main Q:Reg,syslog,647,5.0304,0
1769809569.4930782,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2043,0
1769809569.4936848,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809576.314593,373,rs:main Q:Reg,syslog,647,5.0274,0
1769809576.3153987,373,rs:main Q:Reg,syslog,994,4.9470,0
1769809576.316628,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809576.3173473,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809576.3482409,373,rs:main Q:Reg,syslog,647,5.0308,0
1769809576.3492131,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809576.349837,373,rs:main Q:Reg,syslog,2635,5.0620,0
1769809576.3504176,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809577.411322,373,rs:main Q:Reg,syslog,1485,4.9366,0
1769809577.4119294,373,rs:main Q:Reg,syslog,994,4.9636,0
1769809577.4126837,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809577.413237,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809590.3684435,373,rs:main Q:Reg,syslog,647,5.0314,0
1769809590.36927,373,rs:main Q:Reg,syslog,994,4.9411,0
1769809590.3701015,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809590.3707776,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809621.7871408,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809621.8251674,9660,apt-get,#1624,4096,4.7970,0
1769809621.826092,9660,apt-get,#1624,4096,4.7747,0
1769809621.8271573,9660,apt-get,#1624,4096,4.6743,0
1769809621.8280928,9660,apt-get,#1624,4096,4.6390,0
1769809621.8290114,9660,apt-get,#1624,4096,4.6665,0
1769809621.8299513,9660,apt-get,#1624,4096,4.8208,0
1769809621.8308501,9660,apt-get,#1624,4096,4.8444,0
1769809621.8318572,9660,apt-get,#1624,4096,4.8076,0
1769809621.832656,9660,apt-get,#1624,4096,4.7667,0
1769809621.8335059,9660,apt-get,#1624,4096,4.8004,0
1769809621.834352,9660,apt-get,#1624,4096,4.6944,0
1769809621.8352642,9660,apt-get,#1624,4096,4.6038,0
1769809621.8361704,9660,apt-get,#1624,4096,4.6411,0
1769809621.8370574,9660,apt-get,#1624,4096,4.7542,0
1769809621.8379157,9660,apt-get,#1624,4096,4.7731,0
1769809621.8387673,9660,apt-get,#1624,4096,4.8473,0
1769809621.8397136,9660,apt-get,#1624,4096,4.7227,0
1769809621.840599,9660,apt-get,#1624,4096,4.7289,0
1769809621.8414104,9660,apt-get,#1624,4096,4.7875,0
1769809621.842333,9660,apt-get,#1624,4096,4.6924,0
1769809621.8432696,9660,apt-get,#1624,4096,4.7702,0
1769809621.8442025,9660,apt-get,#1624,4096,4.6946,0
1769809621.8450513,9660,apt-get,#1624,4096,4.6758,0
1769809621.8459,9660,apt-get,#1624,4096,4.6800,0
1769809621.8468137,9660,apt-get,#1624,4096,4.7856,0
1769809621.8476899,9660,apt-get,#1624,4096,4.8001,0
1769809621.848559,9660,apt-get,#1624,4096,4.8607,0
1769809621.8493378,9660,apt-get,#1624,4096,4.7807,0
1769809621.8502474,9660,apt-get,#1624,4096,4.7757,0
1769809621.8512228,9660,apt-get,#1624,4096,4.7993,0
1769809621.8521888,9660,apt-get,#1624,4096,4.7064,0
1769809621.8531363,9660,apt-get,#1624,4096,4.6333,0
1769809621.8540266,9660,apt-get,#1624,4096,4.6447,0
1769809621.8549087,9660,apt-get,#1624,4096,4.7227,0
1769809621.8557854,9660,apt-get,#1624,4096,4.7629,0
